OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
20324432289,63709683148624,0.5437994,0.5041004,0.4815652,0.5084596,0.1338268,1.561337,0.3321754,0.01384231,0.9777277,-0.02244272,0.2082146,1.773798,1.105193,1.628135,0,0,0,1,-0.1326315,-1.554653,-0.3711383,-0.01802739,-0.9998375,-0.0001115158,-0.03168223,0.006309586,-0.03891354,0.03407275,0.007057892,-0.03901236,0.04309082,0.009490967,0.9990234,0.0244751,0.0201416,0.9994965,True,True
20324440542,63709683148638,0.5437884,0.5049096,0.4790338,0.5103804,0.1340113,1.561234,0.3317656,0.01398976,0.9778077,-0.0225512,0.2078169,1.773798,1.105193,1.628135,0,0,0,1,-0.1328124,-1.554539,-0.3707622,-0.01814174,-0.9998354,-0.0002081468,-0.03168397,0.006308227,-0.03890782,0.03408183,0.007080765,-0.03908548,0.0430603,0.01187134,0.9989929,0.01777649,0.02578735,0.9994965,True,True
20324449084,63709683148646,0.5412263,0.5059042,0.4762994,0.5078868,0.1340825,1.561188,0.3317068,0.01412216,0.9777741,-0.02267374,0.2079526,1.773798,1.105193,1.628135,0,0,0,1,-0.1328904,-1.554518,-0.3706219,-0.01829734,-0.9998326,-0.0002806792,-0.03169369,0.006304611,-0.03888985,0.034078,0.007034515,-0.0389404,0.0362854,0.01480103,0.9992218,0.01054382,0.01846313,0.9997711,True,True
20324457269,63709683148648,0.5432749,0.5055836,0.4812822,0.5078468,0.1342916,1.561129,0.3313538,0.01416391,0.9778603,-0.0229043,0.2075188,1.773798,1.105193,1.628135,0,0,0,1,-0.133112,-1.554505,-0.3701111,-0.01840072,-0.9998307,-0.0002853269,-0.03170001,0.006300232,-0.03886664,0.03405931,0.006947128,-0.03864807,0.04170227,0.01385498,0.9990234,0.02372742,0.01834106,0.9995422,True,True
20324465844,63709683148659,0.542963,0.5052982,0.4812769,0.5086984,0.1345146,1.561056,0.3309706,0.01437724,0.9778942,-0.02346453,0.2072816,1.773798,1.105193,1.628135,0,0,0,1,-0.1333365,-1.554433,-0.3697187,-0.01883332,-0.9998226,-0.0003580259,-0.03170198,0.006301377,-0.03886379,0.03405811,0.00694426,-0.03863229,0.0408783,0.01301575,0.9990692,0.02371216,0.02084351,0.9994965,True,True
20324473963,63709683148669,0.5431832,0.5065485,0.4813061,0.5092646,0.1347392,1.56095,0.3305998,0.0147088,0.9779295,-0.02389545,0.2070423,1.773798,1.105193,1.628135,0,0,0,1,-0.1335657,-1.554328,-0.3693326,-0.01918617,-0.9998158,-0.000535956,-0.03170984,0.006303803,-0.03884895,0.03405688,0.006941391,-0.03861652,0.04145813,0.01669312,0.9989929,0.02378845,0.02250671,0.9994507,True,True
20324482296,63709683148678,0.5421452,0.5077722,0.4804291,0.5093109,0.1348412,1.56094,0.33056,0.01480987,0.9778906,-0.0240516,0.2072011,1.773798,1.105193,1.628135,0,0,0,1,-0.1336711,-1.554318,-0.369284,-0.01933351,-0.9998129,-0.0005815548,-0.0317179,0.006301147,-0.03881567,0.03405811,0.00694426,-0.03863229,0.03871155,0.02029419,0.9990387,0.02146912,0.02264404,0.9995117,True,True
20324490387,63709683148680,0.5439622,0.5060976,0.4795524,0.5094249,0.1350844,1.560862,0.330193,0.01499803,0.977943,-0.02444156,0.2068941,1.773798,1.105193,1.628135,0,0,0,1,-0.1339156,-1.554231,-0.3689305,-0.01962708,-0.9998071,-0.0006636203,-0.03172173,0.006314438,-0.03882703,0.03405931,0.006947128,-0.03864807,0.04351807,0.0153656,0.9989319,0.01914978,0.02297974,0.9995422,True,True
20324498894,63709683148691,0.5443437,0.5063988,0.4789175,0.5085106,0.135377,1.560747,0.3298169,0.01517712,0.9779348,-0.0248837,0.206867,1.773798,1.105193,1.628135,0,0,0,1,-0.1342086,-1.554103,-0.3685697,-0.01997307,-0.9998003,-0.0007256853,-0.03172513,0.006321365,-0.03882672,0.03406207,0.006966858,-0.03867873,0.04452515,0.01625061,0.9988708,0.01747131,0.02029419,0.9996338,True,True
20324507069,63709683148703,0.5444788,0.5088276,0.4786807,0.5076486,0.1356927,1.560651,0.3293962,0.01550009,0.9779319,-0.02537305,0.2067974,1.773798,1.105193,1.628135,0,0,0,1,-0.1345273,-1.553999,-0.3681495,-0.02037288,-0.9997921,-0.0008853647,-0.03172946,0.006317017,-0.03879703,0.03406024,0.006986572,-0.03870938,0.0448761,0.02339172,0.9987183,0.0168457,0.01776123,0.9996948,True,True
